"","Education","lng","lat"
"198","High School Diploma or GED",-118.3007669,34.0162803
"199","High School Diploma or GED",-118.267082,33.794975
"200","High School Diploma or GED",-118.126529,33.757891
"201","High School Diploma or GED",-117.85943,34.1030459
"202","High School Diploma or GED",-118.2192252,33.9269799
"203","High School Diploma or GED",-118.159255,33.79629
"204","High School Diploma or GED",-118.0973106,33.9070536
"205","High School Diploma or GED",-118.3185592,33.8897972
"206","High School Diploma or GED",-118.1249607,33.9031193
"207","High School Diploma or GED",-118.1586732,33.7891702
"208","High School Diploma or GED",-118.012031,33.720238
"209","High School Diploma or GED",-118.10604,33.9340059
"210","High School Diploma or GED",-117.9920968,33.9187887
"211","High School Diploma or GED",-118.2671052,34.0352963
"212","High School Diploma or GED",-118.120089,33.833321
"213","High School Diploma or GED",-118.079996,33.813352
"214","High School Diploma or GED",-118.147502,33.864513
"215","High School Diploma or GED",-118.289817,33.743873
"216","High School Diploma or GED",-118.0744723,33.8049232
"217","High School Diploma or GED",-118.2186178,33.8289679
"218","High School Diploma or GED",-118.2800846,33.7972183
"219","High School Diploma or GED",-118.1893972,33.8536941
"220","High School Diploma or GED",-118.1315141,33.8109111
"221","High School Diploma or GED",-118.096774,33.793453
"222","High School Diploma or GED",-118.207353,34.0983
"223","High School Diploma or GED",-118.007153,33.92484
"224","High School Diploma or GED",-118.294884,33.722845
"225","High School Diploma or GED",-118.2713026,33.7728802
"226","High School Diploma or GED",-118.118267,33.857401
"227","High School Diploma or GED",-118.0153125,33.930049
"228","High School Diploma or GED",-118.291823,33.708996
"229","High School Diploma or GED",-118.0217496,33.893695
"230","High School Diploma or GED",-118.0917381,33.9741151
"231","High School Diploma or GED",-118.24854,33.792731
"232","High School Diploma or GED",-118.3565575,33.8820387
"233","High School Diploma or GED",-118.2503568,33.9500086
"234","High School Diploma or GED",-118.1940355,33.884206
"235","High School Diploma or GED",-118.0057318,33.8001221
"236","High School Diploma or GED",-118.298156,33.733989
"237","High School Diploma or GED",-118.01028,33.7363659
"238","High School Diploma or GED",-118.116649,33.8717838
"239","High School Diploma or GED",-118.315433,33.978699
"240","High School Diploma or GED",-117.177508,33.898509
"241","High School Diploma or GED",-118.1631467,33.8884263
"242","High School Diploma or GED",-118.1871972,33.799811
"243","High School Diploma or GED",-118.177932,33.856147
"244","High School Diploma or GED",-118.2670435,33.7879903
"245","High School Diploma or GED",-118.2709527,33.7745743
"246","High School Diploma or GED",-118.244584,33.793309
"247","High School Diploma or GED",-117.186831,32.810071
"248","High School Diploma or GED",-117.32564,33.922732
"249","High School Diploma or GED",-117.2058902,33.7248162
"250","High School Diploma or GED",-118.2692214,33.8318863
"251","High School Diploma or GED",-118.099238,33.852826
"252","High School Diploma or GED",-118.009882,33.8534409
"253","High School Diploma or GED",-118.276963,33.7472422
"254","High School Diploma or GED",-117.4757241,33.9598802
"255","High School Diploma or GED",-118.195937,33.877064
"256","High School Diploma or GED",-118.2827192,33.7325672
"257","High School Diploma or GED",-117.266397,33.6774569
"258","High School Diploma or GED",-118.113484,33.87488
"259","High School Diploma or GED",-117.3433298,33.9892692
"260","High School Diploma or GED",-117.960306,34.03629
"261","High School Diploma or GED",-121.909554,37.41084
"262","High School Diploma or GED",-118.3314091,33.9075192
"263","High School Diploma or GED",-118.0158864,33.8487909
"264","High School Diploma or GED",-118.1751241,33.8945369
"265","High School Diploma or GED",-117.2262169,33.7445337
"266","High School Diploma or GED",-118.186628,33.878444
"267","High School Diploma or GED",-118.2784693,33.7956738
"268","High School Diploma or GED",-118.086784,33.923386
"269","High School Diploma or GED",-118.1760478,33.7748081
"270","High School Diploma or GED",-118.189453,33.859417
